git_repo,total_commits,last_commit_before_months,avg_commits_per_day,git_unique_contributors,forks,stars,open_PRs,merged_PRs,open_issues,resolved_issues,version_release_frequency_months,version_release_frequency_years,LOC,total_lines_added,total_lines_deleted,lines_added_one_and_half_year,lines_deleted_one_and_half_year,readme_updated,sloc_javascript,sloc_typescript,cyclomatic_complexity
https://github.com/quadband/FlatDriver,7,69.19,7.0,2,0,0,0,0,0,0,0.0,0.0,970,1798,583,0,0,False,485.0,439.0,19.0
https://github.com/RubyHue/react-internal-css,2,27.79,0.5,1,0,0,0,0,0,0,0.0,0.0,49,101,7,0,0,False,46.0,0.0,15.0
https://github.com/AsoSunag/hmac-express,23,62.49,0.02,4,3,0,0,2,0,3,0.17,2.1,38,632,83,0,0,False,33.0,0.0,11.0
https://github.com/tqc/browserify-build-status,7,94.17,0.05,1,0,0,0,0,0,0,0.0,0.0,191,507,49,0,0,False,155.0,0.0,27.0
https://github.com/docccdev/gulp-md-docs,22,84.54,0.23,2,1,1,0,0,0,0,0.0,0.0,388,4374,3245,0,0,False,177.0,0.0,11.0
https://github.com/xiangying1121/iview-reinforce,12,21.01,0.04,3,0,1,0,0,0,0,0.0,0.0,6322,7909,905,0,0,False,4397.0,0.0,2.0
https://github.com/adonisjs/adonis-ally,240,1.06,0.09,20,53,147,0,84,0,63,0.46,5.54,3830,75043,70206,3103,3239,True,0.0,1899.0,19.0
https://github.com/GS1Programmer/aio-get-all-files,33,3.06,0.14,2,0,1,0,0,0,0,0.0,0.0,1717,2255,1946,2255,1946,True,113.0,0.0,44.0
https://github.com/schnittstabil/broccoli-es6-module-jstransform,3,88.61,0.0,1,0,1,1,0,0,0,0.07,0.87,24,106,4,0,0,False,17.0,0.0,2.0
https://github.com/echetzakis/pg-doc,89,13.04,0.07,4,1,1,0,26,3,5,0.17,2.03,417,11656,5897,1734,2427,True,446.0,0.0,55.0
https://github.com/alykoshin/module-parent,6,95.4,0.14,1,0,0,0,0,0,0,1.46,17.8,49,459,35,0,0,False,52.0,0.0,4.0
https://github.com/facebook/create-react-app,2802,8.39,1.11,953,26500,102000,465,3784,1700,6528,1.21,14.67,19739,404711,235302,381,431,True,,,
https://github.com/nirina-apiqa/vue-beautiful-chat,74,62.9,0.28,9,0,0,0,0,0,0,1.19,14.48,1131,34699,5484,0,0,False,909.0,0.0,3.0
https://github.com/tr1ckydev/runtimey,4,0.1,0.02,2,0,6,0,0,0,0,0.0,0.0,12,232,48,232,48,True,0.0,14.0,1.0
https://github.com/resin-io/node-resin-lint,280,0.73,0.1,32,3,4,2,74,12,11,0.73,8.89,397,5177,2602,2298,901,True,149.0,267.0,19.0
https://github.com/itslenny/slack-emoji-import,20,36.93,0.02,6,11,35,4,5,0,3,0.0,0.0,0,1756,433,0,0,False,0.0,180.0,19.0
https://github.com/monte-hayward/coderpad-env-js,7,53.83,7.0,2,0,0,1,0,0,0,0.0,0.0,25,1900,12,0,0,False,13.0,0.0,1.0
https://github.com/donaldshen/gulp-cson2,9,71.24,0.27,1,0,0,0,0,0,0,0.0,0.0,43,299,24,0,0,False,37.0,0.0,5.0
https://github.com/zhikangfan/sciter-tools,1,16.43,1.0,1,0,0,0,0,0,0,0.0,0.0,0,106,0,106,0,True,0.0,0.0,0.0
https://github.com/tetcoin/tetcoin,1590,23.15,1.06,114,1,0,5,25,2,0,2.04,24.88,181,448478,329851,0,0,False,6.0,0.0,1.0
https://github.com/luismahou/grunt-hashres,102,82.45,0.06,8,43,115,5,24,15,18,0.0,0.0,76070,152117,150980,0,0,False,204.0,0.0,10.0
https://github.com/CPChain/cpchain-cli,96,17.78,0.36,1,0,0,0,0,0,0,1.6,19.47,71,49003,29680,13043,10476,True,64.0,2118.0,15.0
https://github.com/lgou2w/l2nbt.js,81,44.88,0.3,2,1,9,0,6,0,0,1.07,13.04,298,17856,2616,0,0,False,148.0,1208.0,17.0
https://github.com/kawanet/to-xml,58,6.14,0.02,1,1,6,0,2,3,2,0.07,0.88,314,1629,507,94,69,True,481.0,1.0,78.0
https://github.com/97-things/ns-utils,3,109.34,0.75,3,2,4,0,0,0,0,0.0,0.0,204,351,29,0,0,False,167.0,0.0,24.0
https://github.com/xhxxac16/xhxxac-cli,2,56.26,2.0,1,0,0,0,0,0,0,0.0,0.0,34,82,2,0,0,False,31.0,0.0,2.0
https://github.com/koalyptus/TableFilter,1789,43.11,0.82,12,95,318,5,481,51,294,1.65,20.07,166611,2784029,2692218,0,0,False,9033.0,0.0,19.0
https://github.com/raulghm/raulghm-sass-utils,19,93.18,0.03,1,0,2,0,0,0,0,0.28,3.38,50,1541,334,0,0,False,30.0,0.0,1.0
https://github.com/RenTao0524/vue3-cli,3,22.12,1.5,1,0,0,0,0,0,0,0.0,0.0,150,2349,2,0,0,False,133.0,0.0,10.0
https://github.com/mariusbuescher/grunt-jsonminify,7,95.95,0.06,3,1,0,0,1,0,0,0.0,0.0,42,131,3,0,0,False,30.0,0.0,1.0
https://github.com/cedricium/amo-cli,52,69.32,4.0,1,0,0,0,5,6,2,18.0,219.0,499,2485,278,0,0,False,399.0,0.0,51.0
https://github.com/oleg-putseiko/eslint-config-woofmeow,32,3.61,10.67,2,0,0,0,5,0,0,60.0,730.0,383,7099,114,7099,114,True,368.0,0.0,11.0
https://github.com/dmarchena/psg-theme-greek-fire,34,90.15,0.94,1,0,1,0,0,0,0,0.0,0.0,595,40385,38049,0,0,False,465.0,0.0,64.0
https://github.com/ozekik/markdown-ld,19,30.48,0.1,1,1,14,0,0,0,0,0.0,0.0,269,11213,688,0,0,False,209.0,0.0,24.0
https://github.com/isonet/angular-qart,7,83.05,0.12,1,1,5,0,0,0,1,0.0,0.0,85,771,11,0,0,False,77.0,0.0,2.0
https://github.com/nmrugg/gulp-htmin,34,108.15,0.08,8,0,1,0,0,0,0,0.46,5.56,44,1205,180,0,0,False,29.0,0.0,4.0
https://github.com/stevegood/card-binder,17,76.95,17.0,2,0,0,0,0,0,0,0.0,0.0,200,6286,173,0,0,False,167.0,0.0,4.0
https://github.com/LiamMartens/wrap-it,12,41.82,0.15,1,0,0,13,1,0,0,0.0,0.0,27,4826,111,0,0,False,25.0,91.0,19.0
https://github.com/xeno/dropbox-recursive-ignore-node_modules,10,12.95,0.01,3,4,7,0,1,0,0,0.0,0.0,53,299,67,1,1,True,46.0,0.0,3.0
https://github.com/hurrymaplelad/chaid,9,99.22,0.03,1,1,1,0,0,1,0,0.28,3.37,48,257,35,0,0,False,42.0,0.0,10.0
https://github.com/MichaelTaylor3D/ChiaSproutCli,79,1.22,0.47,3,2,5,0,4,2,0,0.0,0.0,2350,7275,6029,7275,6029,True,837.0,0.0,61.0
https://github.com/Leizhenpeng/design-tooltik-cn,136,10.82,1.13,3,1,10,12,32,2,1,3.03,36.83,107,31603,13857,31603,13857,True,62.0,4347.0,19.0
https://github.com/EJMason/chefs-prettier,10,51.0,0.05,1,0,0,5,2,0,0,10.91,132.73,24,5788,2639,0,0,False,20.0,0.0,1.0
https://github.com/daremove/circle-distribution,1,47.31,1.0,1,0,0,1,0,0,0,0.0,0.0,0,528,0,0,0,False,0.0,0.0,0.0
https://github.com/edgracilla/zmdp-suite,41,5.98,0.12,2,0,0,0,0,0,0,0.0,0.0,0,7111,880,7111,880,True,530.0,0.0,20.0
https://github.com/seemywingz/3base,214,41.77,0.16,4,1,3,22,11,0,0,0.32,3.88,6279,231641,235799,0,0,False,1064.0,0.0,118.0
https://github.com/lighterio/shellify,12,113.2,0.1,1,2,1,0,2,1,0,0.0,0.0,551,846,112,0,0,False,431.0,0.0,16.0
https://github.com/lyst/baustein,151,60.3,0.09,12,9,7,2,43,0,3,0.66,8.01,5353,25843,14148,0,0,False,2441.0,0.0,197.0
https://github.com/toneil/parliament-corpus,60,91.64,6.67,1,0,1,0,0,0,0,225.0,2737.5,919,1329,324,0,0,False,712.0,0.0,98.0
https://github.com/aws-amplify/amplify-js,9228,0.07,4.03,477,2100,9300,83,4572,532,5667,9.15,111.37,48587,4665739,3695400,1479866,1346400,True,3754.0,60885.0,15.0
https://github.com/Mitscherlich/node-seeta,21,65.81,0.38,1,0,2,0,0,0,0,0.0,0.0,496,5922,2062,0,0,False,336.0,0.0,14.0
https://github.com/expo/expo,20898,0.07,7.61,1314,4500,27400,229,13340,415,12629,0.0,0.0,2146425,30662269,29199059,3689870,5018196,True,,,
https://github.com/zaidakhterr/react-json-graph,71,76.6,0.14,2,0,0,0,0,0,0,0.0,0.0,5610,24836,11490,0,0,False,1068.0,0.0,74.0
https://github.com/terzhang/useStateBot,17,44.02,0.18,1,0,1,0,0,0,0,0.0,0.0,170,88282,56512,0,0,False,102.0,300.0,16.0
https://github.com/hackape/redux-ergo,59,63.74,0.75,1,0,1,0,0,0,0,0.0,0.0,0,2315,1211,0,0,False,0.0,666.0,13.0
https://github.com/nashibao/co-gate,14,118.08,0.13,1,1,7,0,0,0,0,0.0,0.0,59,224,26,0,0,False,53.0,0.0,8.0
https://github.com/owen-it/ng-loader,59,37.9,0.04,7,9,29,0,6,2,0,0.0,0.0,695,1397,157,0,0,False,575.0,0.0,13.0
https://github.com/brombal/keck,33,7.31,0.48,2,1,0,0,0,0,0,0.0,0.0,291,40156,16557,40156,16557,True,1158.0,1149.0,19.0
https://github.com/yousefamar/custom-i3status,4,86.71,4.0,1,0,0,0,0,0,0,0.0,0.0,0,346,2,0,0,False,0.0,0.0,0.0
https://github.com/jgolla/torn-api,1401,0.34,1.28,6,4,5,1,679,2,31,1.79,21.81,0,328131,272937,203482,246367,True,0.0,2919.0,17.0
https://github.com/yanni4night/js-base64,115,71.14,0.03,21,0,0,0,0,0,0,0.29,3.58,459,2781,1722,0,0,False,457.0,0.0,107.0
https://github.com/fisch42/fxosapp,8,129.19,0.89,1,0,3,0,0,0,0,0.0,0.0,88,557,6,0,0,False,66.0,0.0,1.0
https://github.com/oznakn/recycle-bin,4,13.33,4.0,1,0,0,0,0,0,0,0.0,0.0,142,1672,14,1672,14,True,108.0,7.0,14.0
https://github.com/gokulkrishh/set-default-browser,20,29.72,0.01,3,4,5,0,2,1,3,0.0,0.0,72,1022,735,0,0,False,58.0,0.0,8.0
https://github.com/dstaley/react-native-bootstrap-icons,2,33.22,0.01,1,3,4,1,1,2,1,0.0,0.0,64,3032,9,0,0,False,55.0,0.0,4.0
https://github.com/sgsshankar/shapeshiftio-node,6,97.82,0.05,2,1,2,0,1,0,0,0.0,0.0,269,599,17,0,0,False,230.0,0.0,3.0
https://github.com/robojones/revents,16,75.86,0.89,1,0,0,0,0,0,0,7.06,85.88,74,2631,24,0,0,False,121.0,0.0,16.0
https://github.com/Liberty-liu/Everright-formEditor,217,2.83,0.85,3,55,357,1,18,5,5,0.89,10.87,6413,53964,11584,53964,11584,True,6448.0,0.0,15.0
https://github.com/patarapolw/hyperpug,50,43.28,0.15,2,1,13,11,4,0,1,9.6,116.8,93,12917,5630,0,0,False,55.0,245.0,12.0
https://github.com/aichholzer/modellr,82,47.33,0.09,6,0,2,6,34,0,15,0.0,0.0,338,25956,25147,0,0,False,592.0,0.0,85.0
https://github.com/EugeneFenko/real-random-address,15,57.95,0.06,2,3,8,0,0,1,0,0.0,0.0,1023,1768,189,0,0,False,904.0,0.0,48.0
https://github.com/moxystudio/webpack-isomorphic-compiler-reporter,58,49.72,0.08,5,1,7,0,28,0,4,3.46,42.12,138,19192,9142,0,0,False,118.0,0.0,15.0
http://github.com/fgnass/linger,5,127.5,1.67,1,2,51,0,0,0,1,0.0,0.0,59,287,96,0,0,False,52.0,0.0,10.0
https://github.com/DRIVER-EU/kafka-replay-service,176,41.62,0.18,5,1,3,37,28,0,0,9.68,117.74,18,150152,92830,0,0,False,17.0,1467.0,18.0
https://github.com/seattletimes/savage-query,7,77.34,0.01,2,1,2,0,0,0,0,0.0,0.0,177,243,22,0,0,False,141.0,0.0,35.0
https://github.com/S3B4S/yo-boilerplate,66,78.31,22.0,2,2,3,0,0,0,0,0.0,0.0,291,1869,210,0,0,False,245.0,0.0,18.0
https://github.com/warehouseai/warehouse.ai-api-client,101,6.72,0.04,20,4,2,3,36,0,1,0.38,4.58,1819,16008,3656,185,56,False,307.0,0.0,34.0
https://github.com/bdbch/html-imageblur,5,70.13,5.0,1,0,0,3,0,0,1,0.0,0.0,475,4323,2,0,0,False,181.0,0.0,8.0
https://github.com/brycedarling/redux-autobahn-js,41,66.61,0.12,7,5,5,1,11,3,6,0.0,0.0,2119,37336,577,0,0,False,1071.0,0.0,16.0
https://github.com/pxson2903/react-native-simple-message-bar,56,66.11,0.06,8,0,0,0,0,0,0,7.85,95.46,1344,7241,4090,0,0,False,669.0,0.0,64.0
https://github.com/eduardo-matos/bettina,17,11.42,0.01,2,1,0,0,1,0,0,0.0,0.0,11,2336,40,2,2,False,0.0,9.0,1.0
https://github.com/55places/Neighborhoods-JS-Linting,101,49.35,0.08,9,0,4,2,21,0,8,0.28,3.38,1221,4854,2586,0,0,False,515.0,0.0,19.0
https://github.com/rhanb/nativescript-swipe-layout,160,14.14,0.06,22,5,20,0,2,2,6,0.0,0.0,1327,18910,13328,0,3,False,590.0,795.0,13.0
https://github.com/auth0/sandboxjs,181,36.67,0.09,12,12,58,5,28,1,5,0.79,9.64,1674,12888,8664,0,0,False,1496.0,129.0,11.0
https://github.com/leonelv/rauter,12,51.39,0.06,1,0,0,4,0,0,0,0.0,0.0,192,3273,1627,0,0,False,116.0,173.0,14.0
https://github.com/EthosWallet/react-api,655,5.21,1.38,8,16,15,3,41,0,11,0.0,0.0,793,51679,37015,17873,13992,True,142.0,3977.0,17.0
https://github.com/calmm-js/bacon.atom,75,58.78,0.06,2,1,11,0,2,0,0,1.12,13.65,275,7401,1065,0,0,False,225.0,0.0,6.0
https://github.com/dugagjin/tiny-neural-network,46,64.72,3.83,1,1,1,0,0,0,0,0.0,0.0,0,678,169,0,0,False,0.0,123.0,15.0
https://github.com/funlee/funlee-gulp,1,74.15,1.0,1,0,0,0,0,0,0,0.0,0.0,135,374,0,0,0,False,96.0,0.0,16.0
https://github.com/alestor123/DOGO-BOT,11,35.42,11.0,1,0,0,0,0,0,0,0.0,0.0,22,200,1,0,0,False,22.0,0.0,4.0
https://github.com/ArthurShlain/jQuery-ResponsiveFlipper,30,19.23,0.03,1,1,4,0,0,1,0,0.0,0.0,397,2332,659,0,0,False,355.0,0.0,16.0
https://github.com/dpjanes/homestar-broadcast-mdns,19,87.7,0.04,1,0,0,0,0,0,0,0.0,0.0,140,521,69,0,0,False,98.0,0.0,4.0
https://github.com/simple0812/kupfilter,2,114.73,2.0,1,0,1,0,0,0,0,0.0,0.0,27494,45520,7,0,0,False,689.0,0.0,15.0
https://github.com/askucher/gulp-bucklescript,1,89.39,1.0,1,0,0,0,0,0,0,0.0,0.0,53,2080,0,0,0,False,259.0,0.0,11.0
https://github.com/Archan26/flat-the-object,4,17.55,1.33,1,0,0,0,0,0,0,0.0,0.0,25,132,24,132,24,True,22.0,0.0,6.0
https://github.com/leandrodiniz/ngx-zendesk-webwidget,28,50.25,0.03,5,1,0,0,1,0,0,0.0,0.0,386,1339,234,0,0,False,202.0,120.0,14.0
https://github.com/ArthurEspinoza/poke-mixin,4,13.51,4.0,1,0,0,0,0,0,0,0.0,0.0,12968,35656,8,35656,8,True,15.0,0.0,1.0
https://github.com/jgallen23/grunt-markx,4,123.42,0.01,1,2,0,2,0,0,1,0.16,1.95,178,489,109,0,0,False,74.0,0.0,5.0
https://github.com/dekelev/feathers-http-distributed,123,11.74,0.13,3,0,5,0,9,0,1,0.32,3.93,302,15661,4177,270,268,False,238.0,0.0,69.0
