package_name,Jan 23,Feb 23,Mar 23,Apr 23,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24
tensorflow-downloader,19.0,14.0,15.0,16.0,4.0,9.0,21.0,16.0,16.0,22.0,14.0,4.0,8.0,7.0
saasify-client,89.0,118.0,69.0,111.0,16.0,48.0,75.0,13.0,44.0,125.0,96.0,42.0,48.0,6.0
react-editable-elements,18.0,11.0,8.0,13.0,5.0,7.0,10.0,6.0,6.0,25.0,60.0,37.0,22.0,13.0
mapquest-geocoder,41.0,41.0,42.0,21.0,12.0,25.0,16.0,10.0,18.0,47.0,18.0,13.0,30.0,2.0
ysj-pkg2,6.0,10.0,5.0,9.0,3.0,5.0,7.0,1.0,3.0,9.0,6.0,4.0,4.0,1.0
persistent-amqp-bcast,28.0,14.0,35.0,25.0,6.0,10.0,23.0,12.0,3.0,31.0,22.0,5.0,11.0,1.0
devtools-backend,14.0,3.0,7.0,6.0,7.0,7.0,9.0,10.0,6.0,9.0,3.0,4.0,4.0,1.0
mutator,10.0,4.0,15.0,20.0,4.0,6.0,8.0,24.0,4.0,7.0,6.0,11.0,7.0,1.0
wxml-dom-serializer,11.0,15.0,15.0,15.0,4.0,20.0,10.0,7.0,5.0,15.0,12.0,1.0,7.0,1.0
string-helper,6726.0,4443.0,48.0,20.0,8.0,15.0,13.0,64.0,107.0,31.0,20.0,28.0,138.0,195.0
obscen,12.0,8.0,17.0,12.0,3.0,7.0,12.0,8.0,2.0,19.0,11.0,5.0,10.0,7.0
grunt-velocity-compiler,20.0,10.0,23.0,18.0,3.0,9.0,22.0,23.0,23.0,30.0,10.0,17.0,9.0,1.0
lambduh-get-s3-object,16.0,12.0,20.0,14.0,5.0,7.0,20.0,6.0,8.0,24.0,19.0,10.0,6.0,1.0
re-times,53.0,58.0,75.0,56.0,15.0,125.0,52.0,20.0,18.0,53.0,27.0,20.0,26.0,13.0
color_game,17.0,5.0,4.0,5.0,5.0,6.0,7.0,8.0,5.0,18.0,6.0,2.0,3.0,2.0
bent,1124653.0,1162003.0,1239758.0,1025936.0,1135169.0,1151269.0,1164764.0,1299378.0,1271989.0,1362432.0,1282899.0,1149121.0,1389843.0,1023446.0
ip2int,19.0,13.0,11.0,13.0,7.0,226.0,465.0,580.0,558.0,370.0,565.0,483.0,653.0,648.0
partial-left,9.0,11.0,7.0,9.0,4.0,4.0,9.0,3.0,5.0,14.0,8.0,8.0,6.0,2.0
homebridge-dht,140.0,110.0,140.0,99.0,35.0,52.0,86.0,67.0,42.0,141.0,97.0,22.0,62.0,14.0
barnacles,506.0,230.0,700.0,774.0,609.0,677.0,690.0,287.0,288.0,1561.0,306.0,339.0,423.0,62.0
fullpage-puppeteer-screenshot,15.0,28.0,13.0,17.0,14.0,17.0,54.0,15.0,12.0,40.0,19.0,12.0,12.0,31.0
cushax,30.0,14.0,35.0,32.0,6.0,20.0,24.0,13.0,2.0,50.0,33.0,13.0,14.0,2.0
react-scrollable,18.0,9.0,23.0,23.0,9.0,14.0,22.0,8.0,15.0,35.0,22.0,8.0,10.0,1.0
vue-stripe-better-elements,193.0,226.0,316.0,156.0,126.0,182.0,136.0,125.0,156.0,102.0,55.0,36.0,140.0,38.0
ethconnector,128.0,101.0,116.0,44.0,86.0,109.0,70.0,82.0,43.0,108.0,43.0,23.0,95.0,19.0
check-sorted,10.0,8.0,13.0,7.0,5.0,8.0,9.0,15.0,5.0,32.0,8.0,4.0,4.0,1.0
react-chat-window-combinations,65.0,70.0,74.0,57.0,95.0,37.0,56.0,35.0,13.0,67.0,44.0,5.0,22.0,2.0
express-promisify-router,22.0,13.0,12.0,12.0,2.0,9.0,15.0,24.0,9.0,34.0,17.0,6.0,9.0,218.0
puzzler,201.0,172.0,97.0,37.0,16.0,6.0,8.0,5.0,5.0,9.0,6.0,3.0,9.0,3.0
phaser-ce-spriter,7.0,11.0,9.0,8.0,6.0,5.0,11.0,5.0,1.0,11.0,7.0,3.0,5.0,4.0
angular-file-uploader,9873.0,9939.0,11583.0,9181.0,10620.0,9831.0,9506.0,10033.0,9293.0,10010.0,8741.0,7743.0,8443.0,5590.0
grid-ui,19.0,12.0,27.0,19.0,5.0,15.0,17.0,7.0,13.0,26.0,16.0,3.0,7.0,3.0
gatsby-remark-link-summary,46.0,21.0,18.0,24.0,8.0,9.0,16.0,22.0,2.0,20.0,12.0,11.0,8.0,1.0
funai-framework,14.0,6.0,4.0,6.0,6.0,7.0,13.0,10.0,3.0,9.0,19.0,9.0,8.0,5.0
overfall,15.0,13.0,14.0,18.0,7.0,8.0,17.0,16.0,10.0,38.0,16.0,5.0,8.0,1.0
seneca-pubsub,4.0,7.0,8.0,11.0,2.0,5.0,8.0,4.0,3.0,8.0,4.0,57.0,70.0,6.0
smoltet,2.0,8.0,4.0,4.0,4.0,8.0,7.0,10.0,3.0,7.0,3.0,6.0,3.0,3.0
nuxt-resources-loader,23.0,44.0,18.0,24.0,10.0,10.0,21.0,19.0,16.0,42.0,55.0,10.0,21.0,9.0
twain-nodejs,10.0,14.0,22.0,16.0,29.0,21.0,22.0,9.0,10.0,13.0,10.0,5.0,3.0,5.0
zeitport,7.0,5.0,6.0,4.0,3.0,5.0,6.0,5.0,4.0,7.0,6.0,1.0,4.0,1.0
json-pipeline-reducer,34.0,10.0,41.0,30.0,14.0,19.0,38.0,17.0,229.0,38.0,27.0,28.0,17.0,10.0
funny-or,15.0,4.0,9.0,5.0,5.0,10.0,9.0,3.0,4.0,12.0,5.0,8.0,4.0,1.0
wbroberts-quadtree-outline,6.0,4.0,6.0,5.0,4.0,6.0,6.0,1.0,6.0,14.0,7.0,2.0,4.0,2.0
unclosedhtmltags,232.0,40.0,45.0,30.0,25.0,29.0,50.0,77.0,99.0,109.0,41.0,96.0,77.0,38.0
koa-middleware-hook,75.0,25.0,68.0,22.0,47.0,43.0,57.0,39.0,25.0,24.0,21.0,12.0,30.0,29.0
thanglongdoc,7.0,9.0,4.0,11.0,3.0,3.0,9.0,1.0,3.0,9.0,6.0,7.0,5.0,1.0
maid,1151.0,1287.0,2055.0,1278.0,1332.0,1139.0,1171.0,996.0,1621.0,1100.0,878.0,714.0,1855.0,1571.0
azdo-cancel-previous-builds,18.0,9.0,9.0,10.0,4.0,4.0,13.0,7.0,4.0,30.0,4.0,9.0,4.0,1.0
sacc,53.0,61.0,79.0,70.0,98.0,77.0,115.0,78.0,59.0,60.0,78.0,81.0,48.0,28.0
fuzz-me-maybe,21.0,10.0,8.0,8.0,8.0,6.0,14.0,12.0,2.0,21.0,11.0,5.0,15.0,7.0
stormbot,5.0,3.0,4.0,4.0,4.0,4.0,7.0,2.0,2.0,6.0,6.0,4.0,4.0,2.0
nuxt-image,32.0,16.0,41.0,22.0,33.0,29.0,60.0,50.0,93.0,121.0,44.0,55.0,59.0,72.0
namespace-helpers,318.0,171.0,148.0,103.0,160.0,188.0,109.0,223.0,167.0,387.0,295.0,189.0,196.0,168.0
minidsp-control,23.0,10.0,20.0,16.0,7.0,12.0,17.0,7.0,4.0,21.0,18.0,10.0,16.0,4.0
lightbox,445.0,448.0,502.0,622.0,647.0,582.0,469.0,627.0,260.0,490.0,562.0,431.0,484.0,366.0
gulp-ex-css-url-adjuster,114.0,48.0,95.0,43.0,44.0,33.0,36.0,43.0,31.0,74.0,41.0,75.0,57.0,23.0
crummycontent,22.0,11.0,26.0,27.0,3.0,15.0,15.0,9.0,2.0,47.0,16.0,10.0,12.0,11.0
uiuxtest,23.0,102.0,108.0,29.0,30.0,27.0,27.0,24.0,7.0,44.0,14.0,1.0,7.0,12.0
node-red-contrib-actions-google,74.0,32.0,127.0,43.0,25.0,23.0,23.0,25.0,21.0,46.0,32.0,26.0,25.0,12.0
react-hubspot-form,186426.0,176951.0,235349.0,177366.0,243552.0,244477.0,250237.0,237074.0,135436.0,137853.0,149397.0,169679.0,199316.0,90778.0
ghost-render,17.0,12.0,52.0,30.0,40.0,22.0,38.0,29.0,24.0,28.0,37.0,24.0,58.0,24.0
ng-smarter-table,19.0,13.0,25.0,19.0,7.0,9.0,21.0,11.0,9.0,26.0,10.0,15.0,8.0,8.0
not-graphql-tag,1529.0,1437.0,1687.0,1358.0,1401.0,1896.0,2113.0,2376.0,1993.0,2309.0,2299.0,2862.0,2223.0,1551.0
panda-node,26.0,21.0,19.0,26.0,11.0,11.0,25.0,11.0,2.0,33.0,12.0,9.0,10.0,2.0
ngx-flags,397.0,441.0,464.0,509.0,291.0,186.0,85.0,71.0,44.0,61.0,31.0,21.0,20.0,4.0
ngx-telegram-widget,18.0,19.0,10.0,15.0,6.0,10.0,8.0,6.0,4.0,18.0,10.0,13.0,9.0,1.0
mongodb-level,752.0,1524.0,2404.0,1517.0,1631.0,1660.0,1452.0,1178.0,482.0,841.0,1299.0,883.0,604.0,765.0
cordova-plugin-facebook4-v2,12.0,9.0,5.0,9.0,4.0,5.0,10.0,10.0,5.0,20.0,16.0,13.0,5.0,1.0
pexels-api,28.0,24.0,7.0,27.0,8.0,17.0,15.0,14.0,6.0,26.0,17.0,5.0,12.0,6.0
gaia-ajsf-bootstrap3,14.0,12.0,7.0,11.0,3.0,9.0,12.0,10.0,5.0,22.0,14.0,8.0,6.0,8.0
mini-memoize,21.0,16.0,20.0,24.0,13.0,14.0,23.0,12.0,10.0,23.0,27.0,15.0,8.0,7.0
generator-phpstyl,28.0,15.0,39.0,23.0,15.0,13.0,26.0,12.0,3.0,44.0,24.0,6.0,13.0,1.0
haste-resolver,198.0,152.0,155.0,239.0,547.0,222.0,260.0,322.0,287.0,448.0,203.0,241.0,795.0,745.0
capacitor-mapbox-navigation,25.0,19.0,21.0,15.0,22.0,14.0,21.0,11.0,9.0,53.0,8.0,15.0,11.0,3.0
mtnedgemicrosystems,7.0,11.0,11.0,8.0,3.0,3.0,10.0,6.0,2.0,94.0,10.0,10.0,6.0,1.0
side-effect-js,51.0,35.0,38.0,42.0,15.0,34.0,30.0,5.0,17.0,61.0,62.0,22.0,46.0,20.0
