git_repository,total_commits,avg_commits_per_day,last_commit_before_months,git_unique_contributors,github_forks,github_stars,open_PRs,merged_PRs,open_issues,resolved_issues,version_release_frequency_months,version_release_frequency_years,LOC,total_lines_added,total_lines_deleted,lines_added_one_and_half_year,lines_deleted_one_and_half_year,readme_updated,SLOC_JS,SLOC_TS,CC
https://github.com/anasamo92/sagess-service-generator,13,0.57,36,1,0,0,0,0,0,0,4.09,49.77,908,17235,16567,0,0,False,316,0,18
https://github.com/bendrucker/is-defined,3,3.0,105,1,0,2,0,1,0,1,0,0,5,119,1,0,0,False,4,0,0
https://github.com/GlassBricks/Testorio,232,0.42,10,2,0,10,0,0,0,1,0,0,0,29958,15893,8260,5389,True,610,2628,0
https://github.com/OTaylorUK/JungleSlider,25,0.86,35,1,0,0,0,0,0,0,0,0,4057,4624,2102,0,0,False,1403,0,568
https://github.com/malikasinger1/request-inzi,6,0.09,65,2,0,1,0,0,0,0,0,0,58,566,17,0,0,False,54,51,12
https://github.com/laconbass/practical-inheritance,22,0.1,119,1,0,0,0,0,0,1,0,0,347,919,260,0,0,False,250,0,13
https://github.com/grammarly/tape-enzyme,8,0.01,56,1,7,7,5,9,0,0,0.27,3.25,2149,10994,1279,0,0,False,1106,0,49
https://github.com/gemini86/node-red-contrib-nostalgic,16,2.67,50,2,0,0,12,10,1,0,0,0,107,6851,1362,0,0,False,74,0,16
https://github.com/noblesamurai/node-batch,13,13.0,117,1,0,0,0,1,0,0,0,0,46,325,93,0,0,False,76,0,13
https://github.com/mkslanc/ftst,154,0.58,40,2,0,0,0,0,0,0,0,0,2535,6300,2500,0,0,False,3022,0,857
https://github.com/ponycode/mongoose-map-reduce-profit,22,3.67,110,2,0,1,0,0,0,0,0,0,283,768,114,0,0,False,275,0,46
https://github.com/ratiw/vuetable-2,359,0.58,69,34,407,2200,49,103,327,262,1.04,12.63,7586,37793,11956,0,0,False,5100,0,31
https://github.com/hyrsky/checkout-psp-api,22,0.03,37,3,0,0,12,6,0,0,0.26,3.18,0,54446,18798,0,0,False,0,140,0
https://github.com/AlienKevin/string-unified,41,0.85,53,1,0,1,14,3,0,0,0,0,1751,10544,3225,0,0,False,8,181,0
https://github.com/mpyan/candybar,9,1.29,95,2,0,0,0,0,0,0,0,0,16,81,5,0,0,False,15,0,6
https://github.com/Bruce-shuai/hy-npm,1,1.0,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,False,0,0,0
https://github.com/carsonmcdonald/node-easy-webthumb,3,3.0,150,1,2,2,0,0,0,0,0,0,51,119,2,0,0,False,41,0,13
https://github.com/linclark/demo-workshopper,18,0.06,107,1,15,30,0,0,1,2,1.49,18.1,17,204,12,0,0,False,79,0,6
https://github.com/mlc-ai/web-llm,163,0.5,0,32,520,8700,1,138,75,107,0,0,1374,31353,11394,31353,11394,True,561,3636,0
https://github.com/huozaifenlangli/vue3-directive-tool,12,0.13,4,1,0,1,0,0,0,0,0,0,241,2654,573,2654,573,True,0,334,0
https://github.com/pinoccio/pinoccio-db,25,0.11,108,2,5,8,0,1,0,0,0,0,522,1440,257,0,0,False,702,0,124
https://github.com/UpperCod/atomico-starter-component,27,0.33,63,1,0,1,0,0,0,0,0,0,161,3613,3127,0,0,False,145,0,4
https://github.com/SeanWhelan/frenzyui,52,0.41,14,1,0,0,0,0,0,0,660.0,8030.0,285,33577,21406,232,8842,True,259,0,3
https://github.com/iMoses/react-decorators,41,0.1,57,3,2,5,13,5,0,1,0,0,213,14386,8634,0,0,False,502,0,37
https://github.com/hackerrdave/typeahead.js,603,0.38,81,81,0,0,0,0,0,0,0.57,6.96,11607,55807,39671,0,0,False,7654,0,483
https://github.com/marook/everarch,647,0.6,0,1,1,3,0,0,0,0,0,0,2409,59461,16117,26354,6190,False,1875,0,0
https://github.com/melamber/simple-ioc-container,20,0.1,80,2,1,2,0,0,0,0,0,0,336,4259,454,0,0,False,238,0,8
https://github.com/transitive-bullshit/react-modern-library-boilerplate,80,0.08,44,5,46,326,0,6,7,20,0.36,4.37,83,66791,25150,0,0,False,69,0,0
https://github.com/node-red/node-red-nodes,1702,0.45,0,155,594,943,24,410,124,487,0.81,9.86,21432,114429,64902,6096,2562,False,15496,0,4585
https://github.com/klembot/twine-utils,80,0.03,7,7,1,20,1,25,0,3,0,0,1359,27979,19302,13865,13214,True,6,534,156
https://github.com/gabrieloheix/npm-noglifyjs,14,0.02,43,3,0,0,4,1,0,0,0.24,2.92,244,4956,1015,0,0,False,1585,0,24
https://github.com/andrejewski/himalaya,112,0.04,6,4,128,906,23,37,13,68,1.21,14.71,2135,40755,21277,11049,8858,True,2841,0,142
https://github.com/pixijs/pixi-layers,132,0.05,7,13,57,216,4,23,37,41,0.49,5.95,3156,73392,46130,35506,26504,True,0,899,0
https://github.com/npm/security-holder,13,0.01,29,6,51,148,4,9,0,0,0,0,0,39,30,0,0,False,0,0,0
https://github.com/webcoti/eslint-config-webcoti,60,0.08,2,1,0,3,0,0,0,0,0.75,9.08,77,7618,2642,2723,2088,False,69,0,0
